"","model_name","performance_OS","performance_ORR","performance_PFS","mean_performance"
"1","M1_macrophage",0.125274725274725,0.241458485216449,0.412087912087912,0.259607040859695
"2","Tumor_purity",-0.257142857142857,-0.364465638062564,-0.159340659340659,-0.260316384848694
"3","Resting_DC",-0.934065934065934,-0.943054838486885,-0.313186813186813,-0.730102528579877
"4","PDL1_CPS",-0.942857142857143,-0.104783870942987,0.357142857142857,-0.230166052219091
"5","M1_macrophage + Tumor_purity",0.0769230769230769,0.246014305692231,0.362637362637363,0.228524915084223
"6","M1_macrophage + Resting_DC",-0.261538461538461,0.159453716652372,0.368131868131868,0.0886823744152595
"7","M1_macrophage + PDL1_CPS",-0.257142857142857,0.341686535683654,0.461538461538462,0.182027380026419
"8","Tumor_purity + Resting_DC",-0.613186813186813,-0.460137868053987,-0.291208791208791,-0.454844490816531
"9","Tumor_purity + PDL1_CPS",-0.516483516483516,-0.369021458538346,0.258241758241758,-0.209087738926701
"10","Resting_DC + PDL1_CPS",-0.96043956043956,-0.182232819031282,0.384615384615385,-0.252685664951819
"11","M1_macrophage + Tumor_purity + Resting_DC",-0.12967032967033,0.300684151401615,0.175824175824176,0.115612665851821
"12","M1_macrophage + Tumor_purity + PDL1_CPS",0.103296703296703,0.191344459982846,0.39010989010989,0.228250351129813
"13","M1_macrophage + Resting_DC + PDL1_CPS",-0.327472527472527,0.341686535683654,0.379120879120879,0.131111629110669
"14","Tumor_purity + Resting_DC + PDL1_CPS",-0.661538461538462,0.0683373071367308,0.186813186813187,-0.135462655862848
"15","M1_macrophage + Tumor_purity + Resting_DC + PDL1_CPS",-0.221978021978022,0.273349228546923,0.39010989010989,0.147160365559597
