"","model_name","performance_OS","performance_ORR","performance_PFS","mean_performance"
"1","PDL1_CPS",-0.116483516483516,0.191208791208791,0.542857142857143,0.205860805860806
"2","CD4_helper_T_cells",0.525274725274725,0.705494505494506,0.775824175824176,0.668864468864469
"3","neutrophils",-0.828571428571429,-0.12967032967033,-0.525274725274725,-0.494505494505494
"4","PDL1_protein_expression",0.0241758241758242,0.0373626373626374,0.516483516483516,0.192673992673993
"5","CD8_T_cells",-0.0417582417582418,0.0021978021978022,0.345054945054945,0.101831501831502
"6","PDL1_CPS + CD4_helper_T_cells",0.274725274725275,0.696703296703297,0.841758241758242,0.604395604395604
"7","PDL1_CPS + neutrophils",-0.27032967032967,0.265934065934066,0.402197802197802,0.132600732600733
"8","PDL1_CPS + PDL1_protein_expression",-0.283516483516484,-0.010989010989011,0.498901098901099,0.0681318681318681
"9","PDL1_CPS + CD8_T_cells",-0.182417582417582,-0.010989010989011,0.534065934065934,0.113553113553114
"10","CD4_helper_T_cells + neutrophils",0.468131868131868,0.758241758241758,0.775824175824176,0.667399267399267
"11","CD4_helper_T_cells + PDL1_protein_expression",0.406593406593407,0.679120879120879,0.859340659340659,0.648351648351648
"12","CD4_helper_T_cells + CD8_T_cells",0.468131868131868,0.692307692307692,0.810989010989011,0.657142857142857
"13","neutrophils + PDL1_protein_expression",-0.0153846153846154,0.0989010989010989,0.485714285714286,0.18974358974359
"14","neutrophils + CD8_T_cells",-0.235164835164835,-0.397802197802198,0.142857142857143,-0.163369963369963
"15","PDL1_protein_expression + CD8_T_cells",0.032967032967033,-0.103296703296703,0.503296703296703,0.144322344322344
"16","PDL1_CPS + CD4_helper_T_cells + neutrophils",0.208791208791209,0.718681318681319,0.828571428571429,0.585347985347985
"17","PDL1_CPS + CD4_helper_T_cells + PDL1_protein_expression",0.103296703296703,0.753846153846154,0.81978021978022,0.558974358974359
"18","PDL1_CPS + CD4_helper_T_cells + CD8_T_cells",0.191208791208791,0.661538461538462,0.78021978021978,0.544322344322344
"19","PDL1_CPS + neutrophils + PDL1_protein_expression",-0.542857142857143,0.134065934065934,0.340659340659341,-0.0227106227106227
"20","PDL1_CPS + neutrophils + CD8_T_cells",-0.367032967032967,0.0989010989010989,0.371428571428571,0.0344322344322344
"21","PDL1_CPS + PDL1_protein_expression + CD8_T_cells",-0.446153846153846,-0.182417582417582,0.512087912087912,-0.0388278388278388
"22","CD4_helper_T_cells + neutrophils + PDL1_protein_expression",0.345054945054945,0.714285714285714,0.797802197802198,0.619047619047619
"23","CD4_helper_T_cells + neutrophils + CD8_T_cells",0.323076923076923,0.70989010989011,0.771428571428571,0.601465201465202
"24","CD4_helper_T_cells + PDL1_protein_expression + CD8_T_cells",0.305494505494505,0.648351648351648,0.793406593406593,0.582417582417582
"25","neutrophils + PDL1_protein_expression + CD8_T_cells",-0.0769230769230769,-0.0769230769230769,0.459340659340659,0.101831501831502
"26","PDL1_CPS + CD4_helper_T_cells + neutrophils + PDL1_protein_expression",0.0021978021978022,0.727472527472527,0.797802197802198,0.509157509157509
"27","PDL1_CPS + CD4_helper_T_cells + neutrophils + CD8_T_cells",0.120879120879121,0.692307692307692,0.78021978021978,0.531135531135531
"28","PDL1_CPS + CD4_helper_T_cells + PDL1_protein_expression + CD8_T_cells",0.0241758241758242,0.604395604395604,0.758241758241758,0.462271062271062
"29","PDL1_CPS + neutrophils + PDL1_protein_expression + CD8_T_cells",-0.657142857142857,-0.0373626373626374,0.292307692307692,-0.134065934065934
"30","CD4_helper_T_cells + neutrophils + PDL1_protein_expression + CD8_T_cells",0.173626373626374,0.718681318681319,0.731868131868132,0.541391941391941
"31","PDL1_CPS + CD4_helper_T_cells + neutrophils + PDL1_protein_expression + CD8_T_cells",-0.142857142857143,0.635164835164835,0.718681318681319,0.403663003663004
