"","x"
"1","PDL1 (combined positive score)"
"2","Mutational Burden "
"3","Neoantigen burden "
"4","log10 MB "
"5","CD4 helper T cells "
"6","CD8 T cells "
"7","PDL1 protein expression "
"8","M0 macrophage "
"9","M2 macrophage "
"10","CD4 active T cells "
"11","ORR "
"12","Neutrophills "
"13","Resting mast cells "
"14","Resting dendritic cells "
"15","M1 macrophage "
"16","Plasma cells "
"17","Monocytes "
"18","Tumor purity "
"19","CD4 resting T cells "
"20","T cell exhaustion signature "
"21","Active NK cells "
"22","B cell naïve "
"23","Cytolytic score "
"24","T regs "
"25","PD1 gene expression "
"26","TCR diversity "
"27","PDL1 gene expression "
"28","ITH "
"29","fPD1 "
"30","Extended immune signature "
"31","IFNg signature "
