immune_factors,ACC,BRCA,CESC,COAD_MSI,COAD_MSS,UCEC,ESCA,GBM,HNSC,LIHC,SKCM,MESO,UVM,LUAD,LUSC,OV,PAAD,PRAD,KIRC,SARC,BLCA
ORR ,6.0E-02 ,5.7E-02 ,2.0E-01 ,3.9E-01 ,0.0E+00 ,1.3E-01 ,1.1E-01 ,8.7E-02 ,1.5E-01 ,1.8E-01 ,3.7E-01 ,1.3E-01 ,3.6E-02 ,1.7E-01 ,1.7E-01 ,9.9E-02 ,0.0E+00 ,7.5E-02 ,2.4E-01 ,9.3E-02 ,1.8E-01 
Mutational Burden ,1.7E+01 ,2.2E+01 ,5.9E+01 ,6.8E+02 ,6.7E+01 ,5.4E+01 ,6.9E+01 ,3.4E+01 ,5.3E+01 ,5.6E+01 ,2.1E+02 ,1.7E+01 ,9.0E+00 ,9.2E+01 ,1.4E+02 ,3.8E+01 ,1.6E+01 ,1.3E+01 ,2.6E+01 ,2.6E+01 ,9.5E+01 
log10(MB) ,1.2E+00 ,1.3E+00 ,1.8E+00 ,2.8E+00 ,1.8E+00 ,1.7E+00 ,1.8E+00 ,1.5E+00 ,1.7E+00 ,1.7E+00 ,2.3E+00 ,1.2E+00 ,9.5E-01 ,2.0E+00 ,2.1E+00 ,1.6E+00 ,1.2E+00 ,1.1E+00 ,1.4E+00 ,1.4E+00 ,2.0E+00 
Cytolytic score ,2.3E+00 ,2.9E+00 ,4.5E+00 ,5.1E+00 ,2.4E+00 ,3.0E+00 ,2.5E+00 ,2.0E+00 ,3.9E+00 ,1.9E+00 ,3.4E+00 ,4.3E+00 ,2.5E+00 ,4.4E+00 ,4.0E+00 ,2.1E+00 ,2.9E+00 ,1.7E+00 ,5.4E+00 ,3.3E+00 ,2.7E+00 
T-cell exhaustion signature ,-3.3E+02 ,-3.3E+02 ,-3.3E+02 ,-3.3E+02 ,-3.4E+02 ,0.0E+00 ,-3.3E+02 ,0.0E+00 ,-3.3E+02 ,-3.3E+02 ,-3.4E+02 ,-3.3E+02 ,-4.0E+02 ,-3.2E+02 ,-3.3E+02 ,-3.0E+02 ,-3.2E+02 ,-3.6E+02 ,-3.2E+02 ,-3.4E+02 ,-3.5E+02 
IFNg signature ,6.9E-01 ,2.4E+01 ,2.9E+01 ,2.6E+01 ,1.4E+01 ,0.0E+00 ,2.3E+01 ,0.0E+00 ,2.7E+01 ,1.4E+01 ,2.4E+01 ,2.2E+01 ,-5.6E+00 ,2.7E+01 ,2.7E+01 ,1.6E+01 ,1.7E+01 ,1.5E+01 ,2.8E+01 ,1.9E+01 ,1.8E+01 
Extended immune signature ,0.0E+00 ,6.3E+01 ,7.7E+01 ,7.2E+01 ,4.1E+01 ,0.0E+00 ,6.0E+01 ,0.0E+00 ,7.2E+01 ,3.2E+01 ,6.7E+01 ,6.4E+01 ,-1.7E+01 ,7.8E+01 ,7.4E+01 ,3.6E+01 ,5.3E+01 ,3.9E+01 ,7.9E+01 ,4.8E+01 ,4.9E+01 
B-cell naïve ,1.9E-02 ,5.6E-02 ,2.7E-02 ,4.6E-02 ,4.6E-02 ,5.7E-02 ,4.8E-02 ,2.2E-03 ,1.9E-02 ,4.0E-02 ,2.5E-02 ,3.4E-02 ,2.9E-04 ,8.1E-02 ,7.7E-02 ,2.9E-02 ,4.2E-02 ,6.3E-02 ,3.0E-02 ,7.5E-03 ,1.9E-02 
B-cell memory ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 ,0.0E+00 
Plasma cells ,8.9E-04 ,1.1E-02 ,1.4E-02 ,4.1E-03 ,6.6E-03 ,1.2E-02 ,7.5E-03 ,5.7E-05 ,1.5E-02 ,4.1E-03 ,7.5E-03 ,5.0E-03 ,2.4E-02 ,5.7E-02 ,5.8E-02 ,1.1E-03 ,1.7E-03 ,2.1E-02 ,6.2E-03 ,8.1E-04 ,1.1E-02 
