"","x"
"1","Plasma cells "
"2","CD4 resting T cells "
"3","Resting dendritic cells "
"4","Tumor purity "
"5","M2 macrophage "
"6","PDL1 (combined positive score)"
"7","Neutrophills "
"8","fPD1 "
"9","Active NK cells "
"10","PD1 gene expression "
"11","ITH "
"12","Cytolytic score "
"13","PDL1 gene expression "
"14","Neoantigen burden "
"15","log10 MB "
"16","PDL1 protein expression "
"17","M1 macrophage "
"18","T regs "
"19","Mutational Burden "
"20","Monocytes "
"21","Extended immune signature "
"22","IFNg signature "
"23","CD4 helper T cells "
"24","TCR diversity "
"25","ORR "
"26","CD4 active T cells "
"27","Resting mast cells "
"28","B cell naïve "
"29","CD8 T cells "
"30","M0 macrophage "
"31","T cell exhaustion signature "
